ID,name,c1,c2,c3,story,nav,win,lose,stranger,bird,weather,item
1,Townhouse,2,3,4,You are at townhouse sitting on sofa and you noticed Upar wali kali has mixed her nonveg food in your veg food. You start fighting with her and got upset,"press 1 to go to dorms, press 2 to go to college and 3 to go to work place",0,0,1,0,1,1
2, Vineet Dorm,3,4,5,"You are at Vineet dorm, You shared all the problems Upar wali kali gives you. Vineet sugessted go to college or work place or shopping to divert your mind.","Prsss 1 to college, press 2 to go to work place, press 3 to go to wallmart",0,0,0,0,1,0
3,College,4,5,1,"you are at college, you sat in library studied for a while, now you are feeling good",press 1 to go to workplace press 2 to go to walmart press 3 to go to townhouse,0,0,1,0,0,0
4,Work place,5,1,3,You are at work place you worked for 8 hours and made $90,press 1 to go to shopping 2 to go to townhouse 3 to go to college,0,0,0,0,1,0
5,Wallmart,2,3,6,You are at Walmart and see ice cream on sale. You purchase ice cream but then upar wali kali appears of nowhere and punched you on your face and steal that ice cream from you.,press 1 to go to vineet dorm 2 to go to college and 3 to go to harshdeep place,0,0,0,0,1,0
6,Harshdeep House,3,4,7,"You are at Harsdeep place and discussed with her the incident happened in walmart. Harsdeep suggested let's leave Canada and go to Punjab, India and eat Chole Bhature. However you convinced her to go to Indore,India for a vaccation",press 1 to go to college 2 to go to workplace and 3 to go to airport,0,0,1,0,0,0
7,Airport,8,3,4,You are at Airport either fly to Indore or return to college or townhouse,press 1 to fly to indore 2 to go to college 3 to go to workplace,0,0,1,0,0,0
8,Indore,9,10,11,"You are at the India's cleanest city Indore (India), your hometown the land of Vorracious eaters",Press 1 to go to poha shop 2 to go to guru kripa and 3 to go to sarafa,0,0,1,1,0,1
9,Poha shop,10,11,12,"You are at poha shop and you asked the shopkeeper ""Bhaiya please put more sev on my poha"".",press 1 to go to gurukripa 2 to go to sarafa and 3 to go to chappan,0,0,1,1,0,1
10,Guru Kripa,11,12,9,You are in World famous restaurant Guru Kripa and you ordered veg lollipop. ,press 1 to go to sarafa 2 to go to chappan and 3 to go to poha shop,0,0,1,1,0,0
11,Sarafa ,9,10,12,You are in sarafa you purchased gold worth $50,press 1 to go to poha shop 2 to go to guru kripa and 3 to go to chappan,0,0,1,0,1,0
12,Chappan,13,9,10,"You are at chappan and purchase Sugar Cane juice you and harsdeep are enjoying this superb drink. However , all of the sudden uppar wali kali appears and she tries to kill you with knife, ypu got injured but you survived.","press 1 to go to rocket launcher, 2 to go to poha shop 3 to go to gurukripa",0,0,0,1,0,1
13,Rocket launcher,1,3,14,In order to escape from upar wali kali you decided to leave Indore  ,press 1 to go to townhouse 2 to go to college 3 to go to Brazil,0,0,1,1,0,1
14,Brazil,16,15,13,You see thick dense rainforest around you and you feel relaxed that upar wali kaali can not reach you here,press 1 to go to deep jungle 2 to go to amazon forest and 3 to return to rocket launcher,0,0,0,0,0,0
15,Amazon forest,13,16,18,After inhaling fresh air your health becomes better,press 1 to go to rocket launcher 2 to enter deep jungle and 3 to go to leather bag mall mall,0,0,1,0,1,0
16,Deep Jungle,15,17,18,As you enter deep jungle you are bitten by king cobra and your health is in critical condition ,press 1 to go to amazon forest 2 to go to raree species restaurant and 3 to go to leather bag mall,0,0,0,0,1,1
17,Rare species restaurant,18,14,20,You ate anaaconda skin which costed you $30 and healed your health by 60 points,press 1 to go to leather bag mall 2 to go to brazil and 3 to go to underground prison,0,0,1,0,1,0
18,Leather bag mall,19,20,,you purchased rare edition crocodile skin bag. However upar wali kali came again and tried to steal your bag. You said enough I challenge you for a face - off. Your friend Harshdeep said leave it (Chodna Pagal hai) Kya and you ignored her.,press 1 to go to secrete cave and 2 to go to underground prison,0,0,0,1,0,1
19,Secret Cave,,,,you are in secrete cave and you unleased the hidden neardy beast in you and you suck out the brain of upar wali kali. Congratulations you won the game,,1,0,1,1,0,0
20,Underground prison,,,,You are in underground prison. Where you had a boxing battle with uppar waali ali in which you loose. Upar wali kali locks you in the underground prison for lifetime. You loose the game,,0,1,1,0,1,0
